S.L,Position,Allowance,Rate,Grade,Step-0,Step-1,Step-2,Step-3,Step-4,Step-5,Step-6,Step-7,Step-8,Step-9,Step-10
,Gross Salary,,,," 34,880 "," 36,832 "," 38,920 "," 41,154 "," 43,545 "," 46,103 "," 48,840 "," 51,769 "," 54,903 "," 58,256 "," 61,844 "
,PF & SWF Deduction,,,," 1,460 "," 1,555 "," 1,657 "," 1,766 "," 1,883 "," 2,007 "," 2,141 "," 2,284 "," 2,437 "," 2,600 "," 2,775 "
,Net Salary,,,," 33,420 "," 35,276 "," 37,263 "," 39,388 "," 41,662 "," 44,096 "," 46,699 "," 49,485 "," 52,466 "," 55,656 "," 59,069 "
,PF Contribution (Organization),,,," 1,360 "," 1,455 "," 1,557 "," 1,666 "," 1,783 "," 1,907 "," 2,041 "," 2,184 "," 2,337 "," 2,500 "," 2,675 "
,Gross Salary (Without Fuel & Lunch bill),,,," 36,240 "," 38,287 "," 40,477 "," 42,820 "," 45,328 "," 48,011 "," 50,881 "," 53,953 "," 57,240 "," 60,757 "," 64,520 "
,Fuel bill,,,," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 39,800 "," 41,847 "," 44,037 "," 46,380 "," 48,888 "," 51,571 "," 54,441 "," 57,513 "," 60,800 "," 64,317 "," 68,080 "
14,"Officer-iii/
Accountant-iii",Basic,7%,xiv," 12,000 "," 12,840 "," 13,739 "," 14,701 "," 15,730 "," 16,831 "," 18,009 "," 19,269 "," 20,618 "," 22,062 "," 23,606 "
,,HR,70%,," 8,400 "," 8,988 "," 9,617 "," 10,290 "," 11,011 "," 11,781 "," 12,606 "," 13,489 "," 14,433 "," 15,443 "," 16,524 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 4,200 "," 4,494 "," 4,809 "," 5,145 "," 5,505 "," 5,891 "," 6,303 "," 6,744 "," 7,216 "," 7,722 "," 8,262 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 31,600 "," 33,322 "," 35,165 "," 37,136 "," 39,246 "," 41,503 "," 43,918 "," 46,502 "," 49,267 "," 52,226 "," 55,392 "
,PF & SWF Deduction,,,," 1,300 "," 1,384 "," 1,474 "," 1,570 "," 1,673 "," 1,783 "," 1,901 "," 2,027 "," 2,162 "," 2,306 "," 2,461 "
,Net Salary,,,," 30,300 "," 31,938 "," 33,691 "," 35,566 "," 37,573 "," 39,720 "," 42,017 "," 44,475 "," 47,106 "," 49,920 "," 52,931 "
,PF Contribution (Organization),,,," 1,200 "," 1,284 "," 1,374 "," 1,470 "," 1,573 "," 1,683 "," 1,801 "," 1,927 "," 2,062 "," 2,206 "," 2,361 "
,Gross Salary (Without Fuel & Lunch bill),,,," 32,800 "," 34,606 "," 36,538 "," 38,606 "," 40,819 "," 43,186 "," 45,719 "," 48,429 "," 51,329 "," 54,432 "," 57,753 "
,Fuel bill,,,," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 36,360 "," 38,166 "," 40,098 "," 42,166 "," 44,379 "," 46,746 "," 49,279 "," 51,989 "," 54,889 "," 57,992 "," 61,313 "
15,Desk Officer/Computer Operator/Office Assistant/ Driver,Basic,7%,xv," 7,200 "," 7,704 "," 8,243 "," 8,820 "," 9,438 "," 10,098 "," 10,805 "," 11,562 "," 12,371 "," 13,237 "," 14,163 "
,,HR,70%,," 5,040 "," 5,393 "," 5,770 "," 6,174 "," 6,606 "," 7,069 "," 7,564 "," 8,093 "," 8,660 "," 9,266 "," 9,914 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 2,520 "," 2,696 "," 2,885 "," 3,087 "," 3,303 "," 3,534 "," 3,782 "," 4,047 "," 4,330 "," 4,633 "," 4,957 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 21,760 "," 22,793 "," 23,899 "," 25,082 "," 26,347 "," 27,702 "," 29,151 "," 30,701 "," 32,360 "," 34,136 "," 36,035 "
,PF & SWF Deduction,,,, 820 , 870 , 924 , 982 ," 1,044 "," 1,110 "," 1,181 "," 1,256 "," 1,337 "," 1,424 "," 1,516 "
,Net Salary,,,," 20,940 "," 21,923 "," 22,974 "," 24,100 "," 25,304 "," 26,592 "," 27,970 "," 29,445 "," 31,023 "," 32,712 "," 34,519 "
,PF Contribution (Organization),,,, 720 , 770 , 824 , 882 , 944 ," 1,010 "," 1,081 "," 1,156 "," 1,237 "," 1,324 "," 1,416 "
,Gross Salary (Without Fuel & Lunch bill),,,," 22,480 "," 23,564 "," 24,723 "," 25,964 "," 27,291 "," 28,712 "," 30,231 "," 31,857 "," 33,598 "," 35,459 "," 37,452 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 24,040 "," 25,124 "," 26,283 "," 27,524 "," 28,851 "," 30,272 "," 31,791 "," 33,417 "," 35,158 "," 37,019 "," 39,012 "
